# ID	E [TeV]		RA(2000)	DEC(200)	err		Topology
HES64 	70.8 		09 37 59 	−27 18 00 	10.6 	Cascade 
HES66 	84.2 		08 34 47 	+38 18 00 	18.3 	Cascade 
HES67 	165.7 		22 22 47 	+03 00 00 	7.0 	Cascade 
HES70 	98.8 		06 15 35 	−33 30 00 	12.3 	Cascade 
HES71 	73.5 		05 22 47 	−20 48 00 	1.2 	Track 
HES74 	71.3 		22 44 00 	−00 54 00 	12.7 	Cascade 
HES75 	164.0 		17 15 59 	+70 30 00 	13.1 	Cascade 
HES76 	126.3 		16 00 47 	−00 24 00 	1.2 	Track 
HES79 	158.2 		01 38 23 	−11 06 00 	14.6 	Cascade 
HES80 	85.6 		09 46 24 	−03 36 00 	16.1 	Cascade 
HES81 	151.8 		03 00 00 	−79 24 00 	13.5 	Cascade 
HES82 	159.3 		16 03 35 	+09 24 00 	1.2 	Track 
AHES1 	18883.62 	16 02 16 	+09 18 00 	0.60 	Track 
AHES2 	15814.74 	14 20 26 	−00 30 00 	1.23 	Track 
AHES3 	10431.02 	13 17 14 	−32 00 00 	1.49 	Track 
AHES4 	7546.05 	02 43 19 	+12 36 00 	0.88 	Track 
AHES5 	8858.64 	20 20 35 	−26 36 00 	0.47 	Track 
AHES6 	8685.07 	14 47 11 	−26 00 00 	2.40 	Track 
AHES7 	13906.14 	10 51 26 	−15 23 59 	1.94 	Track 
DIF1 	480		 	01 58 20 	+01 13 47 	0.31 	Track 
DIF2 	250 		19 52 50 	+11 44 23 	0.45 	Track 
DIF3 	340 		22 59 43 	+23 34 47 	3.06 	Track 
DIF4 	260 		09 24 59 	+47 48 00 	0.43 	Track 
DIF5 	230 		20 27 50 	+21 00 00 	2.13	Track 
DIF6 	770 		16 47 59 	+15 12 35 	10.73 	Track 
DIF7 	460 		17 45 09 	+13 24 00 	0.54 	Track 
DIF8 	660 		22 04 19 	+11 05 23 	0.55 	Track 
DIF9 	950 		05 55 47 	+00 30 00 	0.39 	Track 
DIF10 	520 		19 03 48 	+03 09 00 	1.09 	Track 
DIF11 	240 		20 30 50 	+01 01 47 	0.37 	Track 
DIF12 	300 		15 40 31 	+20 18 00 	1.71 	Track 
DIF13 	210 		18 08 52 	+35 33 00 	0.85 	Track 
DIF14 	210 		21 02 38 	+05 17 23 	5.21 	Track 
DIF15 	300 		14 51 28 	+01 52 11 	3.53 	Track 
DIF16 	660 		02 26 36 	+19 06 00 	1.96 	Track 
DIF17 	200 		13 14 57 	+31 57 35 	0.96 	Track 
DIF18 	260 		22 00 24 	+01 34 12 	0.61 	Track 
DIF19 	210 		13 40 26 	−02 23 24 	0.54 	Track 
DIF20 	750 		11 18 26 	+28 02 23 	0.85 	Track 
DIF22 	400 		14 59 33 	−04 26 23 	1.05 	Track 
DIF23 	390 		02 11 45 	+10 12 00 	0.52 	Track 
DIF24 	850 		19 33 09 	+32 49 11 	0.56 	Track 
DIF25 	400 		23 17 33 	+18 03 00 	2.70 	Track 
DIF26 	340 		07 05 02 	+01 17 23 	1.57 	Track 
DIF27 	4450 		07 22 31 	+11 25 12 	0.37 	Track 
DIF28 	210 		06 41 55 	+04 33 35 	1.08 	Track 
DIF29 	240 		06 06 23 	+12 10 48 	0.40 	Track 
DIF30 	300 		21 41 59 	+26 06 00 	1.62 	Track 
DIF31 	380 		21 53 35 	+06 00 00 	0.55 	Track 
DIF32 	220 		08 55 59 	+28 00 00 	0.45 	Track 
DIF33 	230 		13 10 23 	+19 53 59 	2.33 	Track 
DIF34 	740 		05 05 11 	+12 36 00 	0.66 	Track 
DIF35 	380 		01 02 23 	+15 36 00 	0.53 	Track 
EHE1 	15814.74 	14 18 09 	−00 18 00 	0.75 	Track 
EHE2 	– 			08 11 11 	−00 48 00 	0.10 	Track 
EHE3 	100.00 		03 06 19 	+15 00 00 	0.78 	Track 
EHE4 	120.00 		06 33 11 	−15 00 00 	1.18 	Track 
EHE5 	120.00 		05 09 43 	+05 41 59 	0.83 	Track 
EHE6 	230.00 		22 39 59 	+07 24 00 	0.47 	Track 
